id,nrd,idwn,name,irv,igw,botr,x,y,proj,geometry,bathymetry_ft
71,9,3078,SACRAMENTO,3005,2169,201.78,575629.8397,4437976.078,102786.87553782889,POINT (575629.8397 4437976.078),222.89068603515625
71,9,3078,SACRAMENTO,3006,2228,200.18,575174.7555,4437277.576,103620.54614010105,POINT (575174.7555 4437277.576),228.1519317626953
71,9,3078,SACRAMENTO,3007,2297,198.39,574793.7547,4436504.991,104481.96891193003,POINT (574793.7547 4436504.991),209.83309936523438
71,9,3078,SACRAMENTO,3008,2298,199.66,575026.5885,4435764.157,105258.52965905769,POINT (575026.5885 4435764.157),215.4373016357422
71,9,3078,SACRAMENTO,3009,2299,197.36,575640.4231,4435234.989,106068.96885380385,POINT (575640.4231 4435234.989),211.7321014404297
71,9,3078,SACRAMENTO,3010,2300,194.41,575746.2566,4434515.321,106796.37710227622,POINT (575746.2566 4434515.321),215.66160583496094
71,9,3078,SACRAMENTO,3011,2371,191.04,575714.5066,4433679.236,107633.06473199623,POINT (575714.5066 4433679.236),198.97869873046875
71,9,3078,SACRAMENTO,3012,2372,189.68,575518.5871,4432873.381,108462.39381716354,POINT (575518.5871 4432873.381),193.92391967773438
74,11,3137,SACRAMENTO,3078,2372,189.68,575518.5871,4432873.381,108462.39381716354,POINT (575518.5871 4432873.381),193.92391967773438
74,11,3137,SACRAMENTO,3079,2435,189.63,575230.2391,4432056.395,109328.77173314524,POINT (575230.2391 4432056.395),189.7438201904297
74,11,3137,SACRAMENTO,3080,2491,190.8,575140.0911,4431254.667,110135.55203030595,POINT (575140.0911 4431254.667),195.04049682617188
74,11,3137,SACRAMENTO,3081,2552,188.39,575161.2578,4430503.248,110887.26909326976,POINT (575161.2578 4430503.248),188.8393096923828
74,11,3137,SACRAMENTO,3082,2551,185.12,575637.5087,4429698.913,111822.02559203065,POINT (575637.5087 4429698.913),193.41445922851562
74,11,3137,SACRAMENTO,3083,2614,179.08,576145.5097,4429095.662,112610.68064019953,POINT (576145.5097 4429095.662),189.83326721191406
74,11,3137,SACRAMENTO,3084,2613,179.63,575891.5092,4428375.994,113373.85708390288,POINT (575891.5092 4428375.994),200.18748474121094
74,11,3137,SACRAMENTO,3085,2612,182.83,575499.9251,4427762.16,114101.95754876234,POINT (575499.9251 4427762.16),199.94863891601562
74,11,3137,SACRAMENTO,3086,2611,181.5,575838.5925,4427063.658,114878.23111640924,POINT (575838.5925 4427063.658),194.21702575683594
74,11,3137,SACRAMENTO,3087,2674,179.45,576505.3438,4427254.159,115571.66310806578,POINT (576505.3438 4427254.159),189.73284912109375
74,11,3137,SACRAMENTO,3088,2677,176.51,577225.0119,4427201.242,116293.2740718452,POINT (577225.0119 4427201.242),189.53811645507812
76,12,3171,SACRAMENTO,3137,2677,176.51,577225.0119,4427201.242,116293.2740718452,POINT (577225.0119 4427201.242),189.53811645507812
76,12,3171,SACRAMENTO,3138,2735,175.06,577383.2373,4426395.163,117114.73534996244,POINT (577383.2373 4426395.163),183.99765014648438
76,12,3171,SACRAMENTO,3139,2736,173.64,577373.6257,4425626.235,117883.72342011542,POINT (577373.6257 4425626.235),178.03753662109375
76,12,3171,SACRAMENTO,3140,2737,171.64,577402.4605,4424799.637,118710.82419952228,POINT (577402.4605 4424799.637),176.16685485839844
76,12,3171,SACRAMENTO,3141,2799,169.73,577681.6907,4423985.2,119571.79872386136,POINT (577681.6907 4423985.2),187.92636108398438
76,12,3171,SACRAMENTO,3142,2800,168.42,578359.0254,4423604.199,120348.9371013883,POINT (578359.0254 4423604.199),186.5397186279297
76,12,3171,SACRAMENTO,3143,2872,167.92,578401.3588,4422810.447,121143.8171893639,POINT (578401.3588 4422810.447),180.41036987304688
76,12,3171,SACRAMENTO,3144,2945,164.82,578337.8586,4422016.696,121940.10415108048,POINT (578337.8586 4422016.696),181.75234985351562
76,12,3171,SACRAMENTO,3145,3017,162.32,578009.7747,4421244.111,122779.46499581035,POINT (578009.7747 4421244.111),186.29168701171875
76,12,3171,SACRAMENTO,3146,2942,153.94,577431.2953,4420695.485,123576.72838020691,POINT (577431.2953 4420695.485),167.86891174316406
76,12,3171,SACRAMENTO,3147,2941,154.8,577586.4405,4419942.358,124345.6694125446,POINT (577586.4405 4419942.358),159.02317810058594
76,12,3171,SACRAMENTO,3148,3014,156.99,578337.8586,4419730.691,125126.33072188224,POINT (578337.8586 4419730.691),173.53622436523438
78,25,3196,SACRAMENTO,3171,3014,156.99,578337.8586,4419730.691,125126.33072188224,POINT (578337.8586 4419730.691),173.53622436523438
78,25,3196,SACRAMENTO,3172,3013,154.15,577963.4725,4419075.96,125880.5439770255,POINT (577963.4725 4419075.96),182.3284454345703
78,25,3196,SACRAMENTO,3173,2939,146.56,577368.1588,4418308.666,126851.69714920968,POINT (577368.1588 4418308.666),165.9966583251953
78,25,3196,SACRAMENTO,3174,2938,156.83,578135.452,4417660.436,127856.15769480962,POINT (578135.452 4417660.436),164.4493408203125
78,25,3196,SACRAMENTO,3175,3010,154.9,579101.1831,4417276.789,128895.30233253627,POINT (579101.1831 4417276.789),161.1142120361328
78,25,3196,SACRAMENTO,3176,3088,152.85,579828.7887,4416588.871,129896.62200370769,POINT (579828.7887 4416588.871),157.16407775878906
78,25,3196,SACRAMENTO,3177,3087,147.58,580106.6018,4415755.432,130775.14387893504,POINT (580106.6018 4415755.432),155.9733123779297
78,25,3196,SACRAMENTO,3178,3086,151.02,579511.2882,4415027.826,131715.25492215305,POINT (579511.2882 4415027.826),172.19737243652344
78,25,3196,SACRAMENTO,3179,3085,137.95,579947.8515,4414234.075,132621.14021561365,POINT (579947.8515 4414234.075),139.40518188476562
78,25,3196,SACRAMENTO,3180,3084,138.77,580609.3111,4414657.409,133406.46847690828,POINT (580609.3111 4414657.409),172.11343383789062
78,25,3196,SACRAMENTO,3181,3160,141.05,581323.6876,4415398.244,134435.62846494565,POINT (581323.6876 4415398.244),162.52017211914062
78,25,3196,SACRAMENTO,3182,3159,141.9,582077.7516,4415054.285,135264.43502245884,POINT (582077.7516 4415054.285),161.9373016357422
78,25,3196,SACRAMENTO,3183,3158,140.34,581733.7925,4414313.45,136081.22407704865,POINT (581733.7925 4414313.45),162.31495666503906
78,25,3196,SACRAMENTO,3184,3157,144.01,581227.877,4413592.513,136961.96277331965,POINT (581227.877 4413592.513),164.02337646484375
78,25,3196,SACRAMENTO,3185,3156,143.58,580648.9987,4412977.302,137806.7021773562,POINT (580648.9987 4412977.302),147.57920837402344
78,25,3196,SACRAMENTO,3186,3155,142.28,580754.8323,4412064.487,138725.6319761519,POINT (580754.8323 4412064.487),159.4305877685547
78,25,3196,SACRAMENTO,3187,3078,136.04,580305.0397,4411310.423,139603.65583636856,POINT (580305.0397 4411310.423),168.0079803466797
78,25,3196,SACRAMENTO,3188,3077,141.22,579683.2675,4410781.255,140420.123497037,POINT (579683.2675 4410781.255),158.1550750732422
78,25,3196,SACRAMENTO,3189,3076,142.99,579683.2675,4409987.504,141213.87449703718,POINT (579683.2675 4409987.504),144.87994384765625
78,25,3196,SACRAMENTO,3190,3151,139.25,580265.3522,4409458.336,142000.539209731,POINT (580265.3522 4409458.336),152.89686584472656
78,25,3196,SACRAMENTO,3191,3219,134.9,580860.6658,4409074.69,142708.76412856736,POINT (580860.6658 4409074.69),146.15692138671875
78,25,3196,SACRAMENTO,3192,3282,125.06,580651.181,4408363.803,143449.87424737576,POINT (580651.181 4408363.803),154.6723175048828
78,25,3196,SACRAMENTO,3193,3280,133.64,580569.6236,4407579.791,144238.11686588792,POINT (580569.6236 4407579.791),156.36865234375
78,25,3196,SACRAMENTO,3194,3279,123.59,580688.6863,4406812.498,145014.59254121914,POINT (580688.6863 4406812.498),158.03102111816406
78,25,3196,SACRAMENTO,3195,3341,129.59,581122.4821,4406254.508,145721.368061591,POINT (581122.4821 4406254.508),131.2510986328125
79,26,3248,SACRAMENTO,3196,3341,129.59,581122.4821,4406254.508,145721.368061591,POINT (581122.4821 4406254.508),131.2510986328125
79,26,3248,SACRAMENTO,3197,3404,127.9,581721.1031,4405602.97,146606.15553160047,POINT (581721.1031 4405602.97),134.8065948486328
79,26,3248,SACRAMENTO,3198,3472,126.92,582285.1529,4405143.917,147333.39815527466,POINT (582285.1529 4405143.917),125.5006103515625
79,26,3248,SACRAMENTO,3199,3473,127.05,582717.6748,4405797.506,148117.14159218513,POINT (582717.6748 4405797.506),141.4440460205078
79,26,3248,SACRAMENTO,3200,3408,127.24,583440.3585,4406151.038,148921.66418681463,POINT (583440.3585 4406151.038),138.38856506347656
79,26,3248,SACRAMENTO,3201,3409,128.81,583784.3175,4405436.661,149714.53384306913,POINT (583784.3175 4405436.661),132.67715454101562
79,26,3248,SACRAMENTO,3202,3475,128.81,583387.4418,4404709.056,150543.33982596025,POINT (583387.4418 4404709.056),150.1363067626953
79,26,3248,SACRAMENTO,3203,3536,126.41,583109.6286,4404007.909,151297.51970483735,POINT (583109.6286 4404007.909),141.6159210205078
79,26,3248,SACRAMENTO,3204,3535,117.08,583069.9411,4403214.157,152092.26327049913,POINT (583069.9411 4403214.157),142.48007202148438
